"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1825","Переход на главную по логотипу Самоката","tests","2025-12-23","passed","2025-12-23","TestMainPage","test_main_page","",""
"","1929","Проверка ответа на вопрос №4","tests","2025-12-23","broken","2025-12-23","TestMainPage","test_main_page","",""
"","1852","Проверка ответа на вопрос №5","tests","2025-12-23","broken","2025-12-23","TestMainPage","test_main_page","",""
"","1784","Проверка ответа на вопрос №1","tests","2025-12-23","broken","2025-12-23","TestMainPage","test_main_page","",""
"","1807","Проверка ответа на вопрос №3","tests","2025-12-23","passed","2025-12-23","TestMainPage","test_main_page","",""
"","1921","Проверка ответа на вопрос №6","tests","2025-12-23","passed","2025-12-23","TestMainPage","test_main_page","",""
"","1554","Проверка ответа на вопрос №2","tests","2025-12-23","broken","2025-12-23","TestMainPage","test_main_page","",""
"","2096","Проверка ответа на вопрос №7","tests","2025-12-23","passed","2025-12-23","TestMainPage","test_main_page","",""
"Тест оформления заказа через нижнюю кнопку.","1415","Оформление заказа через нижнюю кнопку","tests","2025-12-23","broken","2025-12-23","TestOrder","test_order","",""
"Тест оформления заказа через верхнюю кнопку.","1630","Оформление заказа через верхнюю кнопку","tests","2025-12-23","broken","2025-12-23","TestOrder","test_order","",""
"","1493","Проверка ответа на вопрос №0","tests","2025-12-23","broken","2025-12-23","TestMainPage","test_main_page","",""
